Date,Open,High,Low,Close,Adj Close,Volume
2013-04-08,255.919998,273.269989,255.630005,272.869995,272.869995,12731500
2013-04-15,271.079987,275.119995,256.600006,260.320007,260.320007,14338400
2013-04-22,259.350006,275.799988,252.809998,254.809998,254.809998,26389000
2013-04-29,254.899994,259.250000,245.750000,258.049988,258.049988,23207400
2013-05-06,258.089996,263.649994,252.910004,263.630005,263.630005,14073100
2013-05-13,262.769989,269.980011,262.000000,269.899994,269.899994,11740800
2013-05-20,269.000000,271.790009,258.339996,261.739990,261.739990,10978800
2013-05-27,266.480011,271.910004,264.839996,269.200012,269.200012,10416200
2013-06-03,268.959991,280.100006,262.950012,276.869995,276.869995,15253700
2013-06-10,276.679993,282.470001,270.290009,273.989990,273.989990,13223800
2013-06-17,276.350006,283.339996,269.790009,273.359985,273.359985,15042600
2013-06-24,271.290009,280.200012,265.000000,277.690002,277.690002,15055700
2013-07-01,279.000000,286.579987,277.160004,285.880005,285.880005,9484800
2013-07-08,286.420013,307.549988,286.140015,307.549988,307.549988,16179100
2013-07-15,307.269989,309.390015,301.869995,305.230011,305.230011,12972400
2013-07-22,309.250000,313.619995,295.549988,312.010010,312.010010,20744100
2013-07-29,311.070007,313.000000,298.899994,304.209991,304.209991,13630800
2013-08-05,303.399994,303.619995,292.549988,297.260010,297.260010,10336900
2013-08-12,295.790009,299.079987,284.500000,284.820007,284.820007,9953300
2013-08-19,285.190002,291.500000,283.480011,290.010010,290.010010,9263500
2013-08-26,290.429993,291.049988,279.329987,280.980011,280.980011,8745900
2013-09-02,284.730011,298.880005,284.170013,295.859985,295.859985,9444800
2013-09-09,297.220001,302.000000,296.200012,297.920013,297.920013,8121400
2013-09-16,299.820007,320.570007,295.260010,316.339996,316.339996,14704500
2013-09-23,314.010010,319.369995,308.769989,316.010010,316.010010,9574500
2013-09-30,313.410004,322.920013,311.059998,319.040009,319.040009,10727200
2013-10-07,315.239990,315.339996,296.500000,310.890015,310.890015,13215000
2013-10-14,309.220001,331.890015,305.239990,328.929993,328.929993,14989100
2013-10-21,329.890015,368.399994,323.799988,363.390015,363.390015,27197500
2013-10-28,359.920013,366.000000,356.100006,359.000000,359.000000,16121200
2013-11-04,360.119995,362.869995,341.880005,350.309998,350.309998,13131000
2013-11-11,350.589996,372.899994,345.679993,369.170013,369.170013,16029500
